OrderID,CustomerID,CustomerCount,RoomNumber,CheckInDate,CheckOutDate,StayDuration,TotalCost,PaymentMethod,SeasonalFactor
26,36,1,104,2024-01-04,2024-01-07,3,297.97,Cash,normal
27,37,1,107,2024-01-04,2024-01-06,2,202.85,Cash,normal
28,38,1,101,2024-01-04,2024-01-14,10,1006.34,Online Transfer,normal
29,39,2,113,2024-01-04,2024-01-11,7,1062.1,Credit Card,normal
30,41,1,109,2024-01-04,2024-01-06,2,200.44,Credit Card,normal
31,42,1,110,2024-01-04,2024-01-12,8,791.52,Credit Card,normal
32,43,1,119,2024-01-04,2024-01-06,2,391.61,Online Transfer,normal
33,44,1,111,2024-01-04,2024-01-05,1,148.53,Online Transfer,normal
34,45,2,115,2024-01-04,2024-01-05,1,147.21,Cash,normal
35,47,1,120,2024-01-04,2024-01-05,1,254.24,Cash,normal
36,48,1,108,2024-01-04,2024-01-08,4,418.52,Credit Card,normal
37,49,1,105,2024-01-04,2024-01-05,1,97.96,Online Transfer,normal
38,50,1,103,2024-01-04,2024-01-05,1,97.07,Credit Card,normal
39,51,1,101,2024-01-05,2024-01-07,2,201.9,Online Transfer,normal
40,52,1,102,2024-01-05,2024-01-14,9,859.68,Cash,normal
41,53,1,103,2024-01-05,2024-01-12,7,675.19,Credit Card,normal
42,54,1,104,2024-01-05,2024-01-06,1,99.34,Credit Card,normal
43,55,1,105,2024-01-05,2024-01-06,1,100.54,Cash,normal
44,56,1,106,2024-01-05,2024-01-06,1,95.59,Credit Card,normal
45,57,1,107,2024-01-05,2024-01-09,4,414.86,Credit Card,normal
46,58,1,108,2024-01-05,2024-01-06,1,103.79,Online Transfer,normal
47,59,1,109,2024-01-05,2024-01-06,1,97.3,Credit Card,normal
48,60,1,110,2024-01-05,2024-01-06,1,97.78,Credit Card,normal
49,61,1,111,2024-01-05,2024-01-06,1,155.37,Credit Card,normal
50,62,1,112,2024-01-05,2024-01-06,1,147.67,Credit Card,normal
51,63,2,113,2024-01-05,2024-01-06,1,153.66,Credit Card,normal
52,65,1,114,2024-01-05,2024-01-13,8,1155.44,Online Transfer,normal
53,66,2,115,2024-01-05,2024-01-06,1,142.81,Cash,normal
54,68,2,116,2024-01-05,2024-01-12,7,1082.44,Credit Card,normal
55,70,1,117,2024-01-05,2024-01-09,4,601.08,Online Transfer,normal
56,71,1,118,2024-01-05,2024-01-09,4,782.56,Credit Card,normal
57,72,2,119,2024-01-05,2024-01-12,7,1350.94,Credit Card,normal
58,74,1,120,2024-01-05,2024-01-13,8,2055.25,Credit Card,normal
59,75,1,101,2024-01-06,2024-01-08,2,198.86,Cash,normal
60,76,1,102,2024-01-06,2024-01-07,1,100.47,Credit Card,normal
61,77,1,103,2024-01-06,2024-01-13,7,667.49,Credit Card,normal
62,78,1,104,2024-01-06,2024-01-09,3,288.09,Online Transfer,normal
63,79,1,105,2024-01-06,2024-01-11,5,478.77,Online Transfer,normal
64,80,1,106,2024-01-06,2024-01-08,2,203.57,Cash,normal
65,81,1,107,2024-01-06,2024-01-07,1,101.29,Online Transfer,normal
66,82,1,108,2024-01-06,2024-01-07,1,96.48,Credit Card,normal
67,83,1,109,2024-01-06,2024-01-09,3,298.69,Credit Card,normal
68,84,1,110,2024-01-06,2024-01-11,5,482.15,Credit Card,normal
69,85,2,111,2024-01-06,2024-01-13,7,1075.63,Online Transfer,normal
70,87,1,112,2024-01-06,2024-01-12,6,892.04,Online Transfer,normal
71,88,1,113,2024-01-06,2024-01-08,2,286.32,Online Transfer,normal
72,89,1,114,2024-01-06,2024-01-07,1,150.61,Cash,normal
73,90,2,115,2024-01-06,2024-01-14,8,1233.09,Online Transfer,normal
74,92,1,116,2024-01-06,2024-01-13,7,1068.8,Cash,normal
75,93,1,117,2024-01-06,2024-01-07,1,143.06,Cash,normal
76,94,1,118,2024-01-06,2024-01-08,2,389.75,Credit Card,normal
77,95,3,119,2024-01-06,2024-01-07,1,201.07,Credit Card,normal
78,98,3,120,2024-01-06,2024-01-08,2,501.87,Credit Card,normal
79,101,1,101,2024-01-07,2024-01-10,3,307.05,Online Transfer,normal
80,102,1,102,2024-01-07,2024-01-14,7,690.41,Online Transfer,normal
81,103,1,103,2024-01-07,2024-01-08,1,98.82,Credit Card,normal
82,104,1,104,2024-01-07,2024-01-15,8,775.2,Credit Card,normal
83,105,1,105,2024-01-07,2024-01-09,2,204.04,Online Transfer,normal
84,106,1,106,2024-01-07,2024-01-08,1,95.77,Cash,normal
85,107,1,107,2024-01-07,2024-01-09,2,208.64,Credit Card,normal
86,108,1,108,2024-01-07,2024-01-08,1,97.46,Credit Card,normal
87,109,1,109,2024-01-07,2024-01-08,1,96.3,Credit Card,normal
88,110,1,110,2024-01-07,2024-01-08,1,101.92,Cash,normal
89,111,2,111,2024-01-07,2024-01-08,1,150.36,Cash,normal
90,113,2,112,2024-01-07,2024-01-08,1,151.58,Credit Card,normal
91,115,2,113,2024-01-07,2024-01-08,1,156.0,Credit Card,normal
92,117,2,114,2024-01-07,2024-01-09,2,300.54,Credit Card,normal
93,119,1,115,2024-01-07,2024-01-08,1,150.08,Online Transfer,normal
94,120,1,116,2024-01-07,2024-01-12,5,767.76,Cash,normal
95,121,1,117,2024-01-07,2024-01-08,1,149.36,Credit Card,normal
96,122,3,118,2024-01-07,2024-01-08,1,191.04,Cash,normal
97,125,3,119,2024-01-07,2024-01-17,10,1907.71,Cash,normal
98,128,3,120,2024-01-07,2024-01-11,4,1026.71,Credit Card,normal
99,131,1,108,2024-01-08,2024-01-17,9,866.22,Credit Card,normal
100,132,1,111,2024-01-08,2024-01-10,2,297.9,Credit Card,normal
101,133,1,107,2024-01-08,2024-01-09,1,104.5,Cash,normal
102,134,1,112,2024-01-08,2024-01-13,5,749.27,Credit Card,normal
103,135,1,103,2024-01-08,2024-01-09,1,96.94,Cash,normal
104,136,1,116,2024-01-08,2024-01-12,4,619.63,Online Transfer,normal
105,137,1,102,2024-01-08,2024-01-09,1,99.7,Cash,normal
106,138,1,119,2024-01-08,2024-01-10,2,419.29,Credit Card,normal
107,139,2,118,2024-01-08,2024-01-09,1,206.55,Credit Card,normal
108,141,1,109,2024-01-08,2024-01-13,5,510.21,Credit Card,normal
109,142,1,105,2024-01-09,2024-01-10,1,100.27,Online Transfer,normal
110,143,1,103,2024-01-09,2024-01-10,1,99.9,Credit Card,normal
111,144,1,113,2024-01-09,2024-01-14,5,717.98,Credit Card,normal
112,145,1,107,2024-01-09,2024-01-10,1,101.86,Credit Card,normal
113,146,1,111,2024-01-09,2024-01-14,5,765.67,Credit Card,normal
114,147,1,108,2024-01-09,2024-01-11,2,191.0,Credit Card,normal
115,148,1,112,2024-01-09,2024-01-11,2,290.28,Credit Card,normal
116,149,1,102,2024-01-09,2024-01-10,1,100.61,Credit Card,normal
117,150,1,110,2024-01-10,2024-01-19,9,869.43,Cash,normal
118,151,1,109,2024-01-10,2024-01-12,2,196.7,Credit Card,normal
119,152,4,120,2024-01-10,2024-01-12,2,484.32,Credit Card,normal
120,156,1,106,2024-01-10,2024-01-12,2,194.62,Credit Card,normal
121,157,1,105,2024-01-10,2024-01-11,1,100.23,Online Transfer,normal
122,158,1,103,2024-01-10,2024-01-13,3,295.71,Credit Card,normal
123,159,1,102,2024-01-10,2024-01-12,2,206.21,Credit Card,normal
124,160,1,113,2024-01-10,2024-01-14,4,591.66,Credit Card,normal
125,161,1,111,2024-01-10,2024-01-14,4,593.21,Cash,normal
126,162,1,115,2024-01-10,2024-01-11,1,147.48,Credit Card,normal
127,163,1,108,2024-01-10,2024-01-13,3,294.66,Cash,normal
128,164,2,113,2024-01-11,2024-01-12,1,147.84,Credit Card,normal
129,166,2,112,2024-01-11,2024-01-20,9,1287.81,Credit Card,normal
130,168,1,102,2024-01-11,2024-01-12,1,97.29,Credit Card,normal
131,169,1,107,2024-01-11,2024-01-16,5,486.38,Credit Card,normal
132,170,1,116,2024-01-11,2024-01-12,1,144.22,Cash,normal
133,171,1,118,2024-01-11,2024-01-16,5,969.95,Credit Card,normal
134,172,1,108,2024-01-11,2024-01-12,1,98.71,Cash,normal
135,173,1,117,2024-01-11,2024-01-17,6,912.82,Online Transfer,normal
136,174,1,101,2024-01-12,2024-01-14,2,194.33,Cash,normal
137,175,1,102,2024-01-12,2024-01-13,1,101.17,Credit Card,normal
138,176,1,103,2024-01-12,2024-01-13,1,99.34,Cash,normal
139,177,1,104,2024-01-12,2024-01-19,7,686.57,Credit Card,normal
140,178,1,105,2024-01-12,2024-01-18,6,599.6,Credit Card,normal
141,179,1,106,2024-01-12,2024-01-16,4,405.81,Cash,normal
142,180,1,107,2024-01-12,2024-01-16,4,380.94,Cash,normal
143,181,1,108,2024-01-12,2024-01-15,3,300.89,Online Transfer,normal
144,182,1,109,2024-01-12,2024-01-15,3,313.19,Online Transfer,normal
145,183,1,110,2024-01-12,2024-01-13,1,96.45,Online Transfer,normal
146,184,2,111,2024-01-12,2024-01-21,9,1347.22,Credit Card,normal
147,186,2,112,2024-01-12,2024-01-14,2,292.13,Credit Card,normal
148,188,2,113,2024-01-12,2024-01-13,1,148.01,Cash,normal
149,190,2,114,2024-01-12,2024-01-13,1,151.62,Online Transfer,normal
150,192,1,115,2024-01-12,2024-01-13,1,142.95,Credit Card,normal
151,193,2,116,2024-01-12,2024-01-13,1,145.16,Cash,normal
152,195,1,117,2024-01-12,2024-01-18,6,885.11,Online Transfer,normal
153,196,2,118,2024-01-12,2024-01-19,7,1360.41,Credit Card,normal
154,198,1,119,2024-01-12,2024-01-13,1,203.14,Online Transfer,normal
155,199,2,120,2024-01-12,2024-01-14,2,476.09,Credit Card,normal
156,201,1,101,2024-01-13,2024-01-15,2,196.95,Credit Card,normal
157,202,1,102,2024-01-13,2024-01-15,2,199.16,Credit Card,normal
158,203,1,103,2024-01-13,2024-01-14,1,104.7,Online Transfer,normal
159,204,1,104,2024-01-13,2024-01-14,1,95.73,Credit Card,normal
160,205,1,105,2024-01-13,2024-01-19,6,628.45,Credit Card,normal
161,206,1,106,2024-01-13,2024-01-14,1,96.98,Credit Card,normal
162,207,1,107,2024-01-13,2024-01-14,1,96.98,Cash,normal
163,208,1,108,2024-01-13,2024-01-14,1,101.1,Credit Card,normal
164,209,1,109,2024-01-13,2024-01-15,2,196.92,Credit Card,normal
165,210,1,110,2024-01-13,2024-01-19,6,601.79,Credit Card,normal
166,211,1,111,2024-01-13,2024-01-15,2,302.7,Credit Card,normal
167,212,2,112,2024-01-13,2024-01-14,1,143.68,Online Transfer,normal
168,214,1,113,2024-01-13,2024-01-14,1,156.13,Credit Card,normal
169,215,1,114,2024-01-13,2024-01-14,1,143.51,Cash,normal
170,216,1,115,2024-01-13,2024-01-14,1,152.32,Online Transfer,normal
171,217,2,116,2024-01-13,2024-01-15,2,294.94,Credit Card,normal
172,219,1,117,2024-01-13,2024-01-17,4,602.25,Cash,normal
173,220,1,118,2024-01-13,2024-01-17,4,778.46,Cash,normal
174,221,3,119,2024-01-13,2024-01-15,2,401.03,Credit Card,normal
175,224,3,120,2024-01-13,2024-01-14,1,256.63,Credit Card,normal
176,227,1,101,2024-01-14,2024-01-15,1,101.37,Credit Card,normal
177,228,1,102,2024-01-14,2024-01-15,1,102.32,Credit Card,normal
178,229,1,103,2024-01-14,2024-01-16,2,205.66,Credit Card,normal
179,230,1,104,2024-01-14,2024-01-24,10,1010.19,Cash,normal
180,231,1,105,2024-01-14,2024-01-19,5,487.26,Online Transfer,normal
181,232,1,106,2024-01-14,2024-01-15,1,97.76,Credit Card,normal
182,233,1,107,2024-01-14,2024-01-16,2,209.32,Cash,normal
183,234,1,108,2024-01-14,2024-01-16,2,208.86,Online Transfer,normal
184,235,1,109,2024-01-14,2024-01-16,2,204.87,Credit Card,normal
185,236,1,110,2024-01-14,2024-01-16,2,199.59,Credit Card,normal
186,237,1,111,2024-01-14,2024-01-16,2,309.33,Cash,normal
187,238,1,112,2024-01-14,2024-01-18,4,625.58,Online Transfer,normal
188,239,1,113,2024-01-14,2024-01-15,1,143.46,Cash,normal
189,240,2,114,2024-01-14,2024-01-15,1,154.23,Credit Card,normal
190,242,1,115,2024-01-14,2024-01-23,9,1377.16,Cash,normal
191,243,1,116,2024-01-14,2024-01-15,1,152.27,Credit Card,normal
192,244,1,117,2024-01-14,2024-01-16,2,308.17,Online Transfer,normal
193,245,1,118,2024-01-14,2024-01-18,4,782.57,Cash,normal
194,246,1,119,2024-01-14,2024-01-15,1,203.34,Credit Card,normal
195,247,1,120,2024-01-14,2024-01-17,3,713.41,Cash,normal
196,248,1,109,2024-01-15,2024-01-17,2,191.19,Credit Card,normal
197,249,2,112,2024-01-15,2024-01-17,2,288.59,Credit Card,normal
198,251,1,105,2024-01-15,2024-01-19,4,411.29,Credit Card,normal
199,252,1,104,2024-01-15,2024-01-16,1,102.77,Online Transfer,normal
200,253,1,103,2024-01-15,2024-01-18,3,306.42,Online Transfer,normal
201,254,1,102,2024-01-15,2024-01-16,1,100.25,Cash,normal
202,255,1,110,2024-01-15,2024-01-17,2,200.52,Credit Card,normal
203,256,2,111,2024-01-15,2024-01-17,2,312.7,Credit Card,normal
204,258,1,101,2024-01-15,2024-01-16,1,96.65,Credit Card,normal
205,259,2,113,2024-01-16,2024-01-18,2,311.0,Cash,normal
206,261,1,112,2024-01-16,2024-01-20,4,594.2,Credit Card,normal
207,262,3,120,2024-01-16,2024-01-17,1,252.0,Cash,normal
208,265,1,115,2024-01-16,2024-01-17,1,147.29,Credit Card,normal
209,266,1,101,2024-01-16,2024-01-18,2,205.22,Credit Card,normal
210,267,1,114,2024-01-16,2024-01-21,5,713.34,Cash,normal
211,268,2,111,2024-01-16,2024-01-17,1,145.93,Cash,normal
212,270,2,116,2024-01-16,2024-01-20,4,591.11,Cash,normal
213,272,2,117,2024-01-16,2024-01-19,3,432.32,Cash,normal
214,274,1,102,2024-01-16,2024-01-17,1,98.85,Credit Card,normal
215,275,1,105,2024-01-16,2024-01-17,1,101.16,Cash,normal
216,276,1,104,2024-01-16,2024-01-22,6,602.46,Online Transfer,normal
217,277,1,107,2024-01-16,2024-01-17,1,99.25,Cash,normal
218,278,1,109,2024-01-16,2024-01-17,1,100.92,Cash,normal
219,279,1,103,2024-01-17,2024-01-19,2,195.17,Cash,normal
220,280,1,107,2024-01-17,2024-01-24,7,691.28,Credit Card,normal
221,281,1,106,2024-01-17,2024-01-18,1,104.29,Credit Card,normal
222,282,1,117,2024-01-17,2024-01-21,4,581.14,Online Transfer,normal
223,283,2,119,2024-01-17,2024-01-18,1,207.36,Cash,normal
224,285,1,110,2024-01-17,2024-01-19,2,197.54,Online Transfer,normal
225,286,2,116,2024-01-17,2024-01-22,5,747.09,Credit Card,normal
226,288,1,105,2024-01-17,2024-01-18,1,99.35,Credit Card,normal
227,289,1,104,2024-01-17,2024-01-19,2,207.97,Cash,normal
228,290,1,120,2024-01-17,2024-01-24,7,1789.8,Credit Card,normal
229,291,1,104,2024-01-18,2024-01-25,7,733.23,Online Transfer,normal
230,292,2,112,2024-01-18,2024-01-20,2,289.52,Cash,normal
231,294,2,115,2024-01-18,2024-01-21,3,447.31,Cash,normal
232,296,1,108,2024-01-18,2024-01-20,2,202.7,Credit Card,normal
233,297,1,109,2024-01-18,2024-01-19,1,100.37,Credit Card,normal
234,298,1,113,2024-01-18,2024-01-21,3,434.03,Online Transfer,normal
235,299,1,117,2024-01-18,2024-01-20,2,311.71,Credit Card,normal
236,300,1,101,2024-01-18,2024-01-19,1,95.07,Credit Card,normal
237,301,1,106,2024-01-18,2024-01-25,7,729.35,Credit Card,normal
238,302,1,103,2024-01-18,2024-01-19,1,101.29,Online Transfer,normal
239,303,2,116,2024-01-18,2024-01-19,1,151.21,Credit Card,normal
240,305,2,111,2024-01-18,2024-01-23,5,743.67,Credit Card,normal
241,307,1,114,2024-01-18,2024-01-24,6,913.87,Cash,normal
242,308,3,120,2024-01-18,2024-01-19,1,238.62,Cash,normal
243,311,1,101,2024-01-19,2024-01-21,2,200.11,Cash,normal
244,312,1,102,2024-01-19,2024-01-20,1,100.13,Credit Card,normal
245,313,1,103,2024-01-19,2024-01-23,4,398.72,Credit Card,normal
246,314,1,104,2024-01-19,2024-01-20,1,98.95,Credit Card,normal
247,315,1,105,2024-01-19,2024-01-22,3,312.08,Cash,normal
248,316,1,106,2024-01-19,2024-01-20,1,96.07,Credit Card,normal
249,317,1,107,2024-01-19,2024-01-20,1,102.13,Cash,normal
250,318,1,108,2024-01-19,2024-01-29,10,1006.48,Credit Card,normal
251,319,1,109,2024-01-19,2024-01-21,2,200.62,Credit Card,normal
252,320,1,110,2024-01-19,2024-01-24,5,476.37,Credit Card,normal
253,321,1,111,2024-01-19,2024-01-20,1,143.98,Credit Card,normal
254,322,2,112,2024-01-19,2024-01-24,5,731.58,Credit Card,normal
255,324,2,113,2024-01-19,2024-01-26,7,1087.04,Credit Card,normal
256,326,1,114,2024-01-19,2024-01-20,1,155.69,Credit Card,normal
257,327,2,115,2024-01-19,2024-01-20,1,151.03,Credit Card,normal
258,329,2,116,2024-01-19,2024-01-20,1,146.51,Online Transfer,normal
259,331,2,117,2024-01-19,2024-01-21,2,298.58,Cash,normal
260,333,2,118,2024-01-19,2024-01-21,2,406.55,Credit Card,normal
261,335,2,119,2024-01-19,2024-01-20,1,196.17,Online Transfer,normal
262,337,3,120,2024-01-19,2024-01-20,1,241.93,Cash,normal
263,340,1,101,2024-01-20,2024-01-22,2,197.62,Credit Card,normal
264,341,1,102,2024-01-20,2024-01-21,1,99.36,Online Transfer,normal
265,342,1,103,2024-01-20,2024-01-26,6,596.86,Cash,normal
266,343,1,104,2024-01-20,2024-01-21,1,102.7,Credit Card,normal
267,344,1,105,2024-01-20,2024-01-24,4,416.67,Online Transfer,normal
268,345,1,106,2024-01-20,2024-01-23,3,306.66,Credit Card,normal
269,346,1,107,2024-01-20,2024-01-22,2,194.6,Credit Card,normal
270,347,1,108,2024-01-20,2024-01-21,1,102.7,Credit Card,normal
271,348,1,109,2024-01-20,2024-01-24,4,384.22,Online Transfer,normal
272,349,1,110,2024-01-20,2024-01-27,7,681.82,Credit Card,normal
273,350,2,111,2024-01-20,2024-01-21,1,154.6,Credit Card,normal
274,352,1,112,2024-01-20,2024-01-21,1,150.69,Cash,normal
275,353,2,113,2024-01-20,2024-01-21,1,145.06,Cash,normal
276,355,2,114,2024-01-20,2024-01-25,5,729.3,Online Transfer,normal
277,357,2,115,2024-01-20,2024-01-21,1,151.76,Credit Card,normal
278,359,1,116,2024-01-20,2024-01-22,2,306.98,Credit Card,normal
279,360,1,117,2024-01-20,2024-01-21,1,149.4,Online Transfer,normal
280,361,1,118,2024-01-20,2024-01-22,2,399.73,Credit Card,normal
281,362,2,119,2024-01-20,2024-01-21,1,193.52,Credit Card,normal
282,364,1,120,2024-01-20,2024-01-29,9,2141.04,Online Transfer,normal
283,365,1,101,2024-01-21,2024-01-26,5,495.04,Cash,normal
284,366,1,102,2024-01-21,2024-01-22,1,104.48,Cash,normal
285,367,1,103,2024-01-21,2024-01-22,1,95.0,Cash,normal
286,368,1,104,2024-01-21,2024-01-22,1,104.67,Credit Card,normal
287,369,1,105,2024-01-21,2024-01-22,1,100.71,Cash,normal
288,370,1,106,2024-01-21,2024-01-23,2,190.38,Credit Card,normal
289,371,1,107,2024-01-21,2024-01-25,4,383.09,Credit Card,normal
290,372,1,108,2024-01-21,2024-01-30,9,905.28,Credit Card,normal
291,373,1,109,2024-01-21,2024-01-25,4,398.63,Online Transfer,normal
292,374,1,110,2024-01-21,2024-01-23,2,208.07,Credit Card,normal
293,375,1,111,2024-01-21,2024-01-24,3,466.34,Credit Card,normal
294,376,1,112,2024-01-21,2024-01-25,4,582.67,Credit Card,normal
295,377,1,113,2024-01-21,2024-01-28,7,1092.14,Credit Card,normal
296,378,2,114,2024-01-21,2024-01-25,4,591.09,Online Transfer,normal
297,380,1,115,2024-01-21,2024-01-22,1,154.86,Cash,normal
298,381,1,116,2024-01-21,2024-01-24,3,454.82,Credit Card,normal
299,382,1,117,2024-01-21,2024-01-25,4,575.01,Credit Card,normal
300,383,3,118,2024-01-21,2024-01-24,3,619.96,Cash,normal
301,386,3,119,2024-01-21,2024-01-29,8,1567.94,Credit Card,normal
302,389,2,120,2024-01-21,2024-01-24,3,754.39,Online Transfer,normal
303,391,1,106,2024-01-22,2024-01-24,2,193.35,Credit Card,normal
304,392,1,113,2024-01-22,2024-01-23,1,152.83,Credit Card,normal
305,393,1,102,2024-01-22,2024-01-27,5,513.51,Credit Card,normal
306,394,1,117,2024-01-22,2024-01-26,4,621.52,Credit Card,normal
307,395,1,110,2024-01-22,2024-01-24,2,194.97,Online Transfer,normal
308,396,1,111,2024-01-22,2024-01-24,2,303.08,Online Transfer,normal
309,397,1,120,2024-01-22,2024-01-24,2,508.15,Credit Card,normal
310,398,2,119,2024-01-22,2024-01-27,5,1019.79,Credit Card,normal
311,400,1,116,2024-01-22,2024-01-28,6,884.85,Credit Card,normal
312,401,1,108,2024-01-22,2024-01-23,1,98.92,Credit Card,normal
313,402,1,113,2024-01-23,2024-01-24,1,148.29,Cash,normal
314,403,1,109,2024-01-23,2024-01-25,2,199.55,Online Transfer,normal
315,404,1,104,2024-01-23,2024-01-26,3,291.02,Cash,normal
316,405,1,103,2024-01-23,2024-01-29,6,612.2,Cash,normal
317,406,1,102,2024-01-23,2024-01-26,3,311.51,Cash,normal
318,407,3,118,2024-01-23,2024-01-25,2,413.99,Credit Card,normal
319,410,1,119,2024-01-23,2024-01-24,1,201.24,Online Transfer,normal
320,411,2,116,2024-01-23,2024-01-30,7,1058.57,Credit Card,normal
321,413,1,117,2024-01-23,2024-01-25,2,306.7,Credit Card,normal
322,414,2,114,2024-01-23,2024-01-24,1,148.04,Cash,normal
323,416,1,108,2024-01-23,2024-01-28,5,513.56,Credit Card,normal
324,417,1,107,2024-01-23,2024-01-24,1,103.92,Online Transfer,normal
325,418,2,112,2024-01-23,2024-01-27,4,597.13,Cash,normal
326,420,1,120,2024-01-23,2024-01-28,5,1229.95,Cash,normal
327,421,1,108,2024-01-24,2024-02-01,8,803.44,Credit Card,normal
328,422,2,116,2024-01-24,2024-01-25,1,144.09,Credit Card,normal
329,424,4,120,2024-01-24,2024-01-29,5,1251.5,Online Transfer,normal
330,428,1,111,2024-01-24,2024-01-26,2,292.2,Credit Card,normal
331,429,1,101,2024-01-24,2024-01-26,2,194.84,Cash,normal
332,430,2,114,2024-01-24,2024-01-26,2,309.77,Cash,normal
333,432,1,113,2024-01-24,2024-01-27,3,430.82,Credit Card,normal
334,433,1,102,2024-01-24,2024-01-25,1,95.24,Credit Card,normal
335,434,2,118,2024-01-24,2024-01-25,1,199.06,Credit Card,normal
336,436,1,116,2024-01-25,2024-02-01,7,1062.71,Credit Card,normal
337,437,1,107,2024-01-25,2024-01-26,1,95.39,Cash,normal
338,438,1,115,2024-01-25,2024-01-27,2,292.03,Credit Card,normal
339,439,1,103,2024-01-25,2024-02-02,8,818.07,Credit Card,normal
340,440,2,117,2024-01-25,2024-01-29,4,599.2,Online Transfer,normal
341,442,1,114,2024-01-25,2024-01-29,4,624.61,Credit Card,normal
342,443,1,108,2024-01-25,2024-02-03,9,861.53,Cash,normal
343,444,1,104,2024-01-25,2024-01-26,1,99.99,Cash,normal
344,445,1,110,2024-01-25,2024-01-26,1,97.55,Online Transfer,normal
345,446,1,101,2024-01-26,2024-01-27,1,102.27,Cash,normal
346,447,1,102,2024-01-26,2024-01-27,1,104.1,Cash,normal
347,448,1,103,2024-01-26,2024-01-31,5,495.58,Credit Card,normal
348,449,1,104,2024-01-26,2024-01-28,2,196.86,Online Transfer,normal
349,450,1,105,2024-01-26,2024-01-27,1,104.88,Credit Card,normal
350,451,1,106,2024-01-26,2024-01-29,3,307.26,Credit Card,normal
351,452,1,107,2024-01-26,2024-01-27,1,95.77,Online Transfer,normal
352,453,1,108,2024-01-26,2024-01-30,4,381.02,Credit Card,normal
353,454,1,109,2024-01-26,2024-01-27,1,97.34,Credit Card,normal
354,455,1,110,2024-01-26,2024-01-28,2,192.01,Credit Card,normal
355,456,2,111,2024-01-26,2024-01-28,2,286.8,Credit Card,normal
356,458,1,112,2024-01-26,2024-01-28,2,304.13,Cash,normal
357,459,1,113,2024-01-26,2024-01-27,1,154.93,Credit Card,normal
358,460,1,114,2024-01-26,2024-02-01,6,931.56,Credit Card,normal
359,461,1,115,2024-01-26,2024-01-27,1,154.19,Credit Card,normal
360,462,2,116,2024-01-26,2024-01-31,5,749.07,Online Transfer,normal
361,464,2,117,2024-01-26,2024-01-28,2,292.58,Credit Card,normal
362,466,2,118,2024-01-26,2024-01-27,1,199.06,Cash,normal
363,468,2,119,2024-01-26,2024-01-27,1,209.66,Cash,normal
364,470,1,120,2024-01-26,2024-01-30,4,1000.02,Credit Card,normal
365,471,1,101,2024-01-27,2024-02-06,10,1029.98,Cash,normal
366,472,1,102,2024-01-27,2024-01-28,1,101.88,Cash,normal
367,473,1,103,2024-01-27,2024-01-28,1,97.62,Online Transfer,normal
368,474,1,104,2024-01-27,2024-02-06,10,991.56,Cash,normal
369,475,1,105,2024-01-27,2024-01-28,1,96.85,Credit Card,normal
370,476,1,106,2024-01-27,2024-01-29,2,198.4,Credit Card,normal
371,477,1,107,2024-01-27,2024-01-28,1,103.97,Online Transfer,normal
372,478,1,108,2024-01-27,2024-02-04,8,786.41,Credit Card,normal
373,479,1,109,2024-01-27,2024-01-28,1,102.45,Credit Card,normal
374,480,1,110,2024-01-27,2024-01-28,1,101.0,Online Transfer,normal
375,481,2,111,2024-01-27,2024-02-03,7,1075.38,Credit Card,normal
376,483,1,112,2024-01-27,2024-01-28,1,148.16,Credit Card,normal
377,484,1,113,2024-01-27,2024-01-28,1,155.92,Cash,normal
